"geneID","HS1","HS2","HS3","HS4","HS5","HS6","HS7","CL1","CL2","CL3","CL4","CL5","CL6","CL7","CL8","CL9","CL10","CL11","CL12","CL13","CL14","CL15","CL16","CL17","CL18","CL19","CL20","CL21"
"CD207",5.54064613454297,5.12334975135635,4.62898708314389,5.78447317191084,4.15279706636809,5.67600208051451,5.30876200475736,-2.26129064449447,-4.8193622707925,1.89082148472866,-0.957346105177246,0.294598339730374,1.83319812920823,5.1919569271796,3.86284668614799,3.78728793775907,-3.5189243586314,-2.08952403128492,0.17113336823426,1.95448162399399,0.0599141881019922,-0.108826530936789,-0.154983186845788,4.50577506387884,-2.2342234824298,2.01526358595534,2.00931173408737,2.80998034011493
"ATP6V1B1",4.45820074919203,3.77742851894751,3.21507612363853,2.95242453546789,2.92085033831839,3.92643940311479,3.39379352456146,-3.48368306583092,-2.94489315287636,-3.45842721615822,-0.812956195842071,-0.546335174302007,-5.1417899827837,1.66242107007795,1.94647061649792,-1.41575913385795,-0.348999357189086,-1.19643923520144,-0.841466668545373,-0.359237657617843,-2.68504419681774,-2.2836009320405,0.154561183585743,0.876094642868478,-3.08222038898475,-1.72258143221913,-2.57017563656764,-0.148820542713919
"PARD3B",5.16193487570855,5.52014691329504,5.68232534947861,5.4757969749347,5.53350457290859,5.54994308774874,5.57187204534127,2.57280412551555,1.90401425862575,2.61271963080592,2.62127486867008,2.15288450567683,2.50062279012136,4.95715620207475,3.20316349545789,3.38227437812183,3.36546423848227,1.97348576624088,2.16799366070369,2.90954073075075,2.63287083556299,3.31676254111731,3.29093362531703,3.58096660732483,2.09037379923355,2.54740044763558,2.48214539856244,4.32881011532591
"DHCR24",9.00308191217669,8.49423109634599,8.24599177408343,8.37625453247367,8.39167471192905,8.18496453889471,8.87342517353416,5.05590659343348,5.43212013982772,6.92737175677046,5.42499350640594,6.94401984195566,6.97435900649039,7.46988288614819,7.13592067095946,6.55521895299352,5.26196687135582,4.79950906091735,5.20790424638969,6.99600408632985,5.61246653309037,6.20082530308455,6.47711099580265,6.59454760483295,5.28962884195685,6.17208847610115,7.18243308603361,6.78670291570724
"PAPPA2",1.17264754973827,1.7135195839439,1.17726270175295,2.28909626074156,2.53897970297474,2.50203095535891,2.07954616675572,-1.29605606265515,-3.23439977007134,-1.17085062606163,-0.957346105177246,-1.56227671817103,-2.17831585880881,1.38615635439164,-0.0998230357760141,0.988893883273086,2.16957574619817,-0.753920999500486,-0.198623251743718,-0.37984793729313,-1.03054076284351,-1.44535200203711,-1.09461056886631,0.463192887933626,-2.74118347114968,-0.851314746341334,-1.50604529914792,-0.714417718568144
"ANGPTL1",3.72886423091044,5.36563485474161,3.96332284544733,5.55256203002329,6.03761740387153,4.89163256271859,4.74787685759584,1.74299671390863,1.74033347131823,1.41700594792871,2.55627761382365,1.47334719155969,1.04010766032469,5.884278902517,3.37774167362126,3.23376209607895,4.29302367472669,3.07849138014876,2.31716516336558,2.1140794872744,2.6462045260461,2.26259199851608,3.48343725563532,3.62931882189847,2.07966729339215,1.56732498961771,1.40502097243179,4.10184064287092
"ELAPOR1",5.14102047312599,3.9225141500648,4.54751897428279,3.42408747207448,3.27594529714095,4.99079123926179,4.27338767465547,2.27416989480911,2.81242108668165,1.89082148472866,2.5826289407706,2.97515741246754,1.80540860147836,2.84492875664054,2.89546483687467,1.95499972356171,2.62500543427797,2.72028236976678,2.22952516302607,1.8072726794117,1.92857476252648,2.23996102401652,2.41552126118168,3.30667728677195,2.61636853346841,2.34822673586708,1.37127218107725,1.40105949885179
"C1ORF21",7.52379412323388,7.35241115958544,7.17055883182877,7.43913502036196,6.85433514393862,7.17190677280726,7.26065810168536,5.07558779185886,4.4714245799064,5.86971968662696,4.43677807430715,4.84258100122541,5.61159392878939,6.81948491333353,5.54378222869311,5.2564343194944,4.61109453950315,4.49758374126779,4.8219978058545,5.05508023317943,4.70949789107553,5.20606460505141,5.25223009598654,5.7729046701582,4.78196575566953,5.45392621961315,6.39639535812442,5.8268079912328
"PRG4",0.751709449019737,1.53294733830207,1.71021440389756,4.69678077882238,3.93752907946502,3.71265421524017,2.70507183986632,-0.631240254244776,-1.1189225526514,-1.27910351671365,-1.11781077737049,-0.611186318651975,-0.324166725272264,3.2232374834674,-3.77538808527808,-0.313073469883388,-0.900014525986904,0.573440981437505,-1.38895446384787,-0.784543492350514,-0.932137058782517,-0.885051555550222,4.7038479527029,1.06793800084532,-0.247643998192117,-0.776352688660111,-2.12271665959642,-3.48380479042673
"NCF2",4.11941659712406,5.07462736869909,4.23615639080652,5.17699461010971,5.17406568312174,5.1807437259774,4.52849388348995,7.06224670325455,7.49531537525113,7.04288312792071,7.5359826784713,6.89213682569964,7.1593060431837,6.1781536199391,7.60501285123269,7.18067505365489,7.40281033778316,7.55819135394543,7.67830750925405,7.83426148946063,7.89137016380266,7.45975449913219,8.08859769392253,6.64504349635219,6.93059035213159,7.48479007910677,6.71038425947929,5.60341693859093
